Number,Zip_Code
0,54475
1,48014
2,60030
3,24086
4,59865
5,23606
6,95116
7,17051
8,94571
9,11549
10,42076
11,57467
12,73939
13,97459
14,98862
15,79372
16,79911
17,77380
18,84635
19,49965
20,75562
21,45122
22,32641
23,4364
24,70757
25,38562
26,36723
27,54949
28,86016
29,86435
30,29645
31,20373
32,29435
33,25309
34,4578
35,95412
36,99141
37,97366
38,54524
39,89412
40,19082
41,57451
42,29681
43,37079
44,78101
45,34797
46,49058
47,68072
48,11226
49,65237
50,12409
51,99155
52,3221
53,5769
54,29172
55,50851
56,13750
57,669
58,58622
59,52171
60,15681
61,62024
62,43932
63,95370
64,32746
65,96097
66,77355
67,16563
68,36265
69,10923
70,77964
71,6232
72,72107
73,59276
74,70436
75,59072
76,5058
77,98552
78,95762
79,83844
80,45373
81,8641
82,72714
83,30642
84,26425
85,58324
86,96793
87,5442
88,71357
89,15129
90,49024
91,27229
92,95709
93,37811
94,18823
95,15747
96,79731
97,40604
98,72634
99,30241
100,46032
101,72351
102,12493
103,25911
104,65039
105,52316
106,67625
107,91784
108,72758
109,48870
110,12766
111,85646
112,14718
113,6051
114,95914
115,22153
116,49633
117,62850
118,57032
119,35007
120,13403
121,24556
122,3222
123,40062
124,97883
125,67621
126,49805
127,78562
128,17555
129,76248
130,65713
131,41616
132,56759
133,68869
134,37711
135,16732
136,95668
137,98353
138,33016
139,85140
140,62325
141,90240
142,70817
143,32811
144,38871
145,18940
146,49002
147,95524
148,45070
149,14141
150,7202
151,79533
152,97502
153,17921
154,16402
155,39747
156,58223
157,75428
158,18353
159,16052
160,15064
161,25082
162,59485
163,60076
164,14206
165,76210
166,48873
167,52169
168,17083
169,64127
170,87018
171,64058
172,76384
173,93105
174,28684
175,84315
176,5903
177,54165
178,4008
179,21538
180,46510
181,59262
182,98596
183,77034
184,3907
185,48160
186,5408
187,93256
188,11794
189,32210
190,68507
191,7307
192,54135
193,17763
194,50522
195,80813
196,49126
197,27215
198,72128
199,5045
200,66612
201,46914
202,6053
203,68349
204,22630
205,12307
206,67437
207,65039
208,35601
209,66020
210,80728
211,74601
212,59039
213,35582
214,75423
215,48176
216,38487
217,95550
218,74936
219,52247
220,57223
221,8096
222,70756
223,19095
224,87418
225,32764
226,21638
227,22810
228,97830
229,37142
230,85711
231,56450
232,7020
233,77074
234,17762
235,54760
236,21076
237,49690
238,60552
239,89428
240,98333
241,3835
242,38833
243,85286
244,75034
245,68064
246,83522
247,17861
248,53580
249,10469
250,927
251,30810
252,83615
253,77560
254,54758
255,30541
256,82934
257,45337
258,32668
259,97370
260,1534
261,71922
262,8330
263,66025
264,18045
265,18517
266,33624
267,63388
268,79938
269,17980
270,4105
271,46365
272,66019
273,13615
274,15347
275,65635
276,67230
277,48214
278,53172
279,41056
280,17953
281,16863
282,37880
283,37122
284,959
285,82933
286,62961
287,89439
288,12401
289,12032
290,83654
291,97115
292,7013
293,43782
294,64661
295,25690
296,11970
297,33597
298,17861
299,93646
300,25136
301,79240
302,71259
303,53115
304,38487
305,82801
306,52307
307,17771
308,58770
309,64475
310,35183
311,95765
312,4287
313,7746
314,15737
315,75601
316,41141
317,19021
318,25868
319,33323
320,35550
321,96123
322,42079
323,25031
324,87109
325,20778
326,21872
327,53507
328,54106
329,24457
330,58402
331,99561
332,44110
333,95340
334,54449
335,2652
336,62467
337,29450
338,33851
339,74432
340,12067
341,18256
342,50226
343,52323
344,43115
345,51557
346,14777
347,87750
348,61737
349,88424
350,66741
351,27803
352,57560
353,56681
354,31087
355,45742
356,78368
357,17756
358,80303
359,2364
360,40982
361,5037
362,28056
363,36353
364,16402
365,31636
366,51235
367,8822
368,31645
369,11104
370,99757
371,43933
372,55045
373,87061
374,53226
375,61485
376,13352
377,63123
378,63744
379,54427
380,38560
381,39366
382,52537
383,11563
384,28144
385,30655
386,89029
387,11415
388,20118
389,49507
390,55308
391,60919
392,5679
393,32927
394,47639
395,68409
396,29575
397,65340
398,51576
399,32822
400,18466
401,68362
402,12831
403,23601
404,32356
405,24448
406,34235
407,75503
408,98629
409,30525
410,67854
411,3431
412,74867
413,13212
414,15650
415,37183
416,11220
417,55385
418,47881
419,31744
420,18355
421,11429
422,70538
